mask_method,asym_masked_token_ratio,sym_masked_token_ratio,sym_masked_atom_ratio
entity,0.2515625,0.2515625,0.08028455284552849
atom,1.0,1.0,0.45336873547958845
atom,1.0,1.0,0.42331393358438896
token,0.7081218274111675,0.7081218274111675,0.32607398568019097
token,0.6054888507718696,0.6054888507718696,0.3390067865991597
atom,1.0,1.0,0.4423864940173742
all,1.0,1.0,0.4813688212927757
token,0.33226837060702874,0.7028753993610224,0.3584905660377359
token,0.5018181818181818,0.5018181818181818,0.2797253342970727
all,1.0,1.0,0.48272378258233983
entity,0.02459016393442623,0.02459016393442623,0.028585632612478262
atom,1.0,1.0,0.35582822085889576
token,0.5578125,0.5578125,0.27032359905288084
atom,1.0,1.0,0.3949898785425101
all,1.0,1.0,0.4908512330946698
atom,1.0,1.0,0.44565217391304346
entity,0.05263157894736842,0.05263157894736842,0.06849611063094208
atom,0.9788961038961039,0.9788961038961039,0.41573770491803275
all,1.0,1.0,0.46777546777546775
all,1.0,1.0,0.46421096693177066
token,0.68125,0.68125,0.33516160626836433
entity,0.090625,0.090625,0.02552600662180926
all,1.0,1.0,0.49567034935801735
entity,0.0846774193548387,0.0846774193548387,0.08725445408862498
entity,0.45,0.45,0.1536691692903851
atom,1.0,1.0,0.4670098268600842
all,1.0,1.0,0.5036639857015193
entity,0.06451612903225806,0.06451612903225806,0.0
token,0.351027397260274,0.351027397260274,0.1999090288833295
token,0.6260869565217392,0.6260869565217392,0.25310173697270466
atom,1.0,1.0,0.4324569356300997
atom,1.0,1.0,0.4421177400237061
token,0.66875,1.0,0.47373029772329245
entity,0.13981042654028436,0.13981042654028436,0.0
token,0.7302405498281787,1.0,0.49135385913116825
token,0.3125,0.7140625,0.26670347874102707
token,0.4171875,1.0,0.48993823470810915
atom,1.0,1.0,0.3679678530424799
entity,0.5,0.5,0.21700879765395897
atom,1.0,1.0,0.396732788798133
entity,0.08097928436911488,0.08097928436911488,0.0
entity,0.03864734299516908,0.03864734299516908,0.041040462427745616
entity,0.10752688172043011,0.10752688172043011,0.09603960396039601
atom,1.0,1.0,0.4182582123758595
atom,1.0,1.0,0.43232866193127284
atom,0.9828125,0.9828125,0.46299516908212557
token,0.8333333333333334,1.0,0.4889643463497453
atom,1.0,1.0,0.44873294346978554
token,0.6640625,0.8703125,0.4097251585623679
atom,1.0,1.0,0.4133611691022965
entity,0.09646302250803858,0.09646302250803858,0.0
token,0.7062706270627063,0.9092409240924092,0.4506232023010547
token,0.4171875,0.98125,0.471431497030514
atom,1.0,1.0,0.35195424213536697
atom,1.0,1.0,0.4411985018726592
entity,0.8817034700315457,0.8817034700315457,0.503010752688172
atom,0.9078651685393259,0.9078651685393259,0.4589419019798766
atom,1.0,1.0,0.4643580769939215
atom,1.0,1.0,0.43368774482372696
atom,1.0,1.0,0.4607508532423208
token,0.6848,0.88,0.43860759493670887
token,0.01937046004842615,0.0387409200968523,0.01899509803921573
atom,1.0,1.0,0.4038420941524171
entity,0.9015625,0.9015625,0.42087336244541484
entity,0.9625,0.9625,0.5092702169625247
entity,0.659375,0.659375,0.25718460789089137
entity,0.753125,0.753125,0.4250960307298336
atom,1.0,1.0,0.4650630011454754
atom,1.0,1.0,0.32238077356365
token,0.14393939393939395,0.14393939393939395,0.10759027266027998
token,0.5059288537549407,0.5059288537549407,0.25700245700245705
all,1.0,1.0,0.5098602335822324
token,0.4526143790849673,0.7401960784313726,0.41275876637093367
token,0.1492776886035313,0.3579454253611557,0.1961864406779661
atom,1.0,1.0,0.4479537366548043
atom,1.0,1.0,0.4316285041729082
atom,1.0,1.0,0.46726959517657196
token,0.3203125,0.321875,0.13382250174703003
atom,1.0,1.0,0.4255939974989579
atom,1.0,1.0,0.3187660668380463
token,0.35,0.3515625,0.1508510638297872
entity,0.17696160267111852,0.17696160267111852,0.09768571793888248
token,0.9265625,0.95625,0.46054142739950776
token,0.2575516693163752,0.3338632750397456,0.18852823477100933
all,1.0,1.0,0.4694300518134715
entity,0.05054151624548736,0.05054151624548736,0.0
token,0.9640625,1.0,0.45380840622999785
entity,0.9671875,0.9671875,0.42405927081302397
atom,0.9538461538461539,0.9538461538461539,0.4492325855962219
entity,0.9691558441558441,0.9691558441558441,0.4937384520632314
token,0.3390119250425894,0.606473594548552,0.3490765171503958
entity,0.6666666666666666,0.6666666666666666,0.33211678832116787
all,1.0,1.0,0.4378979726268023
token,0.83125,0.96875,0.4841075794621027
token,0.7046875,0.8265625,0.4298365122615804
entity,0.9574468085106383,0.9574468085106383,0.464093567251462
atom,1.0,1.0,0.4530525502318392
entity,0.18985270049099837,0.18985270049099837,0.07662152530292232
token,0.484375,0.484375,0.23214974913160946
entity,0.821875,0.821875,0.4062117877231597
token,0.873015873015873,0.9365079365079365,0.3852721451440768
all,0.9076576576576577,0.9076576576576577,0.49837662337662336
token,0.5140625,0.9015625,0.41264435889843054
atom,1.0,1.0,0.44968657208841967
token,0.6671875,0.6671875,0.34056289720568955
token,0.8515625,0.8515625,0.36605080831408776
entity,0.009375,0.009375,0.001485754238769399
token,0.3780290791599354,0.3780290791599354,0.28128834355828225
all,1.0,1.0,0.4944827586206897
token,0.38125,0.45625,0.1894117647058824
all,1.0,1.0,0.45774732539968743
atom,1.0,1.0,0.3613445378151261
entity,0.052873563218390804,0.052873563218390804,0.0
atom,1.0,1.0,0.31436077057793343
entity,0.388086642599278,0.388086642599278,0.0
atom,1.0,1.0,0.26342812006319116
entity,0.9951690821256038,0.9951690821256038,0.49132947976878616
entity,0.06005221932114883,0.06005221932114883,0.0
token,0.78125,1.0,0.47850886127520875
token,0.7215619694397284,0.9796264855687606,0.4732061762034514
atom,0.9777070063694268,0.9777070063694268,0.43729040912139505
atom,1.0,1.0,0.3396793587174348
atom,1.0,1.0,0.42749699157641396
token,0.32679738562091504,0.4477124183006536,0.23534558180227472
atom,0.9078651685393259,0.9078651685393259,0.4589419019798766
all,0.9606164383561644,0.9606164383561644,0.47919035706163293
entity,0.8625,0.8625,0.4710975895155628
entity,0.7375,0.7375,0.31324725011956
atom,0.7982758620689655,0.7982758620689655,0.43091859596713966
token,0.3921875,0.884375,0.44745892243026364
token,0.7828125,0.7828125,0.39322816467872257
atom,1.0,1.0,0.43708737864077674
token,0.435546875,0.87109375,0.42881745120551096
token,0.4375,0.4375,0.26016771488469603
entity,0.2484375,0.2484375,0.13001281816517118
token,0.2539404553415061,0.2539404553415061,0.1756908140403286
atom,1.0,1.0,0.4423318010865023
entity,0.5,0.5,0.23167155425219943
all,1.0,1.0,0.5073705179282868
token,0.503125,0.5625,0.3032314410480349
entity,0.9449035812672176,0.9449035812672176,0.4682184422560429
atom,1.0,1.0,0.4324569356300997
token,0.8171875,0.8171875,0.3792608539648368
atom,1.0,1.0,0.4584461570506144
token,0.8006329113924051,0.9129746835443038,0.3951502211377155
atom,1.0,1.0,0.4399897418362113
all,1.0,1.0,0.47326732673267324
all,0.2413793103448276,0.2413793103448276,0.40718562874251496
token,0.5896907216494846,0.5896907216494846,0.31161024992091113
all,1.0,1.0,0.4923976608187135
entity,0.925,0.925,0.5007241878750259
token,0.7739130434782608,0.7739130434782608,0.4119106699751861
token,0.5578125,0.94375,0.44237244237244233
token,0.022336769759450172,0.044673539518900345,0.02277520033741043
token,0.8599605522682445,1.0,0.4893797790994052
entity,0.284375,0.284375,0.1418985593053088
token,0.4375,0.6953125,0.3271918678526048
entity,0.052873563218390804,0.052873563218390804,0.0
atom,1.0,1.0,0.31436077057793343
atom,1.0,1.0,0.26342812006319116
entity,0.388086642599278,0.388086642599278,0.0
entity,0.9951690821256038,0.9951690821256038,0.49132947976878616
token,0.78125,1.0,0.47850886127520875
entity,0.06005221932114883,0.06005221932114883,0.0
token,0.7215619694397284,0.9796264855687606,0.4732061762034514
atom,1.0,1.0,0.3396793587174348
atom,0.9777070063694268,0.9777070063694268,0.43729040912139505
atom,0.9078651685393259,0.9078651685393259,0.4589419019798766
atom,1.0,1.0,0.42749699157641396
token,0.32679738562091504,0.4477124183006536,0.23534558180227472
all,0.9606164383561644,0.9606164383561644,0.47919035706163293
entity,0.7375,0.7375,0.31324725011956
atom,0.7982758620689655,0.7982758620689655,0.43091859596713966
entity,0.8625,0.8625,0.4710975895155628
token,0.4375,0.4375,0.26016771488469603
token,0.435546875,0.87109375,0.42881745120551096
entity,0.2484375,0.2484375,0.13001281816517118
token,0.2539404553415061,0.2539404553415061,0.1756908140403286
token,0.7828125,0.7828125,0.39322816467872257
token,0.3921875,0.884375,0.44745892243026364
atom,1.0,1.0,0.43708737864077674
atom,1.0,1.0,0.4423318010865023
entity,0.5,0.5,0.23167155425219943
token,0.503125,0.5625,0.3032314410480349
token,0.8171875,0.8171875,0.3792608539648368
all,1.0,1.0,0.5073705179282868
entity,0.9449035812672176,0.9449035812672176,0.4682184422560429
token,0.8006329113924051,0.9129746835443038,0.3951502211377155
atom,1.0,1.0,0.4324569356300997
atom,1.0,1.0,0.4584461570506144
atom,1.0,1.0,0.4399897418362113
all,1.0,1.0,0.47326732673267324
all,0.2413793103448276,0.2413793103448276,0.40718562874251496
token,0.5896907216494846,0.5896907216494846,0.31161024992091113
all,1.0,1.0,0.4923976608187135
entity,0.925,0.925,0.5007241878750259
token,0.7739130434782608,0.7739130434782608,0.4119106699751861
token,0.5578125,0.94375,0.44237244237244233
token,0.022336769759450172,0.044673539518900345,0.02277520033741043
token,0.8599605522682445,1.0,0.4893797790994052
entity,0.284375,0.284375,0.1418985593053088
token,0.4375,0.6953125,0.3271918678526048
atom,1.0,1.0,0.43495630461922596
token,0.95625,0.99375,0.47024912497426397
entity,0.9953125,0.9953125,0.5154403354937095
entity,0.009375,0.009375,0.0120550009417969
entity,0.0796875,0.0796875,0.07118860982242836
all,1.0,1.0,0.48579970104633785
atom,1.0,1.0,0.4154126766985864
entity,0.4609375,0.4609375,0.17246363718493085
atom,1.0,1.0,0.4650630011454754
atom,1.0,1.0,0.4410583510512639
all,1.0,1.0,0.45462292288027273
token,0.8320251177394035,0.8822605965463108,0.4285055350553506
atom,1.0,1.0,0.42871613066599135
entity,0.0688,0.0688,0.07603643799962823
entity,0.5151515151515151,0.5151515151515151,0.29034635224760497
entity,0.9124797406807131,0.9124797406807131,0.4638694638694638
atom,0.9538461538461539,0.9538461538461539,0.44746162927981115
token,0.9816053511705686,1.0,0.48978741142142557
atom,0.9294871794871795,0.9294871794871795,0.4385868570382574
token,0.31886477462437396,0.333889816360601,0.23594791997459508
entity,0.2222222222222222,0.2222222222222222,0.1366061899679829
entity,0.9546875,0.9546875,0.44363367174280877
all,1.0,1.0,0.464354527938343
all,0.8734375,0.8734375,0.45640305724535957
atom,1.0,1.0,0.40531071362714366
token,0.3328125,0.775,0.44928186714542195
token,0.8857142857142857,0.9301587301587302,0.46804835924006905
token,0.6421875,0.66875,0.3362369337979094
atom,1.0,1.0,0.35246995994659547
entity,0.1546875,0.1546875,0.07242603550295856
all,1.0,1.0,0.49741602067183466
token,0.9046875,0.91875,0.46665298584034476
atom,1.0,1.0,0.44282310899344846
token,0.8972602739726028,0.9657534246575342,0.4637257507307999
